,_id,Datetime,Tweet Id,Text,Username
125,641e939aaf9b5844fe895ad8,1678770803000,1635509405281300480,Looking for hindenberg and all opposition pappus in India #Bankcollapse,Partha_das12
126,641e939aaf9b5844fe895ad9,1678770776000,1635509294606221313,"@zoo_bear Do you remember hindenberg report, this is also foreign agency. You people believe in their report but not on our Indian agency. You all started commenting and demanding unnecessary things. You are correct and also among one of them suffering from “ GULAM WALI MANSIKTA”",umeshrsingh
127,641e939aaf9b5844fe895ada,1678770332000,1635507429587681283,"@RevatiSharma15 @amitmalviya BBC's neutrality may be farcical, we can all maybe concede to that, but Hindenberg's mission seems pretty focussed and goal oriented. https://t.co/h07RqH92kL",JohnOBr9635974
128,641e939aaf9b5844fe895adb,1678770203000,1635506891437535234,"Where is hindenberg? Not knowing situation about US Bank &amp; reporting about Indian companies. Further, people of India believe them. No difference between US &amp; China in manipulation. @HindenburgRes @RahulGandhi  chor shouting Adani &amp; Ambani government. #Bankcollapse",Dhanesh25353871
129,641e939aaf9b5844fe895adc,1678770199000,1635506874186358785,"@OpIndia_com As it seems, Hindenberg is certainly not a charitable trust to be relied upon.",prafullakumarm3
130,641e939aaf9b5844fe895add,1678769795000,1635505178244976640,"@darshanik1 @AbhishBanerj May be unlike George Sorrows and Hindenberg, he is not into making money at somebody else's cost; just a bit concerned about his own country. Possible.",_JPhilips
131,641e939aaf9b5844fe895ade,1678769452000,1635503741527810056,"@MajorPoonia Hindenberg poppet  ho gaya? There country bank collapsed. But he speard there wisdom to indian. How indian bank,LIC,adani collapsed. This prof that white r generally papu and brownie intelligent",dheeraj223192
132,641e939aaf9b5844fe895adf,1678769436000,1635503674905759745,@dhax0r @KS1ngh @BhavikaKapoor5 In that case why dont you consider those few pics and many articles published in foreign media and ask for a probe?? Why would you ignore Hindenberg report??,PreethamStj
133,641e939aaf9b5844fe895ae0,1678769408000,1635503557133877248,@SandipGhose @republic Is Hindenberg a watchdog of the US Economy or Banks?It is a private firm which is free to decide who it probes or not.Agreed it touched a raw nerve but to discredit it using this narrative is crass. Is a whistleblower/shortsellor supposed to do so/ blow the whistle in every case?,theamitkpaul
134,641e939aaf9b5844fe895ae1,1678769326000,1635503211632279553,@AbhishBanerj Ofcourse many Indians said including you against hindenberg. People in svb crisis questioning the mechanism if u observe and blaming the FED as in India people questioned government and worried about Adani. Things are normal if we remove propaganda and intent to create divide.,smurali236
